0,[]
1,[0]
2,[0]
3,[0]
4,[0]
5,"[3, 2]"
6,[3]
7,[5]
8,[5]
9,"[5, 4]"
10,"[1, 6]"
11,[5]
12,"[8, 4]"
13,"[8, 9]"
14,"[7, 13]"
15,"[13, 12]"
16,"[10, 13]"
17,"[12, 11]"
18,"[17, 16]"
19,"[15, 17]"
20,"[15, 16]"
21,[16]
22,[18]
23,"[19, 18]"
24,[18]
25,"[18, 20]"
26,"[19, 20]"
27,[21]
28,"[21, 20]"
29,"[25, 21]"
30,"[27, 24]"
31,"[29, 26]"
32,[31]
33,"[23, 30]"
34,"[23, 14]"
35,"[14, 30]"
36,"[22, 30]"
37,"[22, 32]"
38,[14]
39,[33]
40,"[37, 36]"
41,"[39, 40]"
42,"[40, 35]"
43,"[40, 28]"
44,"[40, 39]"
45,[41]
46,[43]
47,"[41, 43]"
48,"[44, 43]"
49,"[42, 44]"
50,"[44, 43]"
51,"[45, 34]"
52,"[42, 47]"
53,"[46, 48]"
54,[42]
55,"[46, 47]"
56,"[34, 50]"
57,[47]
58,"[50, 49]"
59,"[50, 51]"
60,"[51, 53]"
61,"[56, 51]"
62,"[58, 60]"
63,"[59, 52]"
64,"[52, 54]"
65,"[61, 62]"
66,"[62, 64]"
67,"[61, 62]"
68,"[55, 65]"
69,[62]
70,"[65, 64]"
71,[65]
72,"[66, 71]"
73,[67]
74,[66]
75,"[38, 70]"
76,"[73, 69]"
77,[73]
78,"[77, 75]"
79,"[72, 68]"
80,"[74, 63]"
81,"[63, 76]"
82,"[79, 78]"
83,[78]
84,"[78, 80]"
85,[81]
86,[78]
87,[85]
88,[85]
89,[85]
90,[82]
91,"[85, 82]"
92,"[85, 84]"
93,[85]
94,"[85, 82]"
95,"[92, 91]"
96,"[92, 87]"
97,"[92, 91]"
98,"[86, 94]"
99,"[86, 92]"
100,"[86, 97]"
